56640;1;0;56640
56700;1;130;56700
CROIX;3;568.76;59170
CANÉJAN;1;796;33610
ROMANS-SUR-ISERE;12;2957.5;26100
PARIS;379;77237.69;75016
SAINT-MALO;19;2896.25;35400
SAUJON;3;550;17600
SAINT-SAULVE;2;325;59880
CAGNES-SUR-MER;7;830;06800
ESCALQUENS;1;180;31750
CLICHY;10;442.5;92110
GOURDAN-POLIGNAN;1;150;31210
BESANCON;30;4482.35;25000
SAINT-JULIEN-EN-GENEVOIS;9;1592.13;74160
LES TOUCHES;1;215;44390
LE HAVRE;15;3418.3100000000004;76600
LE MANS;22;4914.74;72100
MANTES-LA-JOLIE;7;1130;78200
TOURS;20;4082.5;37100
AVIGNON;32;7291.1900000000005;84000
SAINT-POL-SUR-MER;4;760;59430
CAEN;33;8989.85;14000
GRENOBLE;29;4955;38000
NANCY;26;5962.070000000001;54000
MARSEILLE;93;20831.86;13013
AUTERIVE;5;1307.13;31190
GAP;9;1976.23;05000
THONON-LES-BAINS;15;2881.54;74200
PANTIN;8;910;93500
LAVAL;7;1247.13;53000
LE PONTET;5;1447.0900000000001;84130
CERGY;20;7900.28;95800
LA CHAPELLE-D'ARMENTIERES;1;150;59930
STAFFELFELDEN;2;300;68850
LOOS;8;1620.82;59120
CHALLANS;9;1460;85300
VILLENEUVE-LE-ROI;5;395;94290
BRIGNOLES;8;995;83170
CREUTZWALD;4;640;57150
ANGERS;25;7068.040000000001;49100
DAMBACH-LA-VILLE;2;461.25;67650
BAGNEUX;6;580;92220
ROUSSON;1;150;30340
MARIGNANE;7;910;13700
COLLEGIEN;4;0;77090
ORRY-LA-VILLE;4;609.63;60560
LAPALUD;1;350;84840
VAUVERT;3;280;30600
GANAC;1;180;09000
BEZIERS;26;6401.37;34500
CHARTRES;13;2179.42;28000
MONTPELLIER;47;12032.859999999999;34000
BELFORT;14;4467.96;90000
VITRY-SUR-SEINE;10;5625.719999999999;94400
LIMAY;3;500;78520
RÉMELFING;1;180;57200
TARBES;17;4453.139999999999;65000
BORDEAUX;77;17425.929999999997;33000
STRASBOURG;46;11273.24;67000
HAGUENAU;13;2536.25;67500
SAINT-PAUL-LES-DAX;4;590;40990
ROHRWILLER;1;150;67410
WIZERNES;1;150;62570
BLOIS;7;1060;41000
VILLEURBANNE;19;3329.26;69100
CACHAN;3;2436.25;94230
ROSNY-SOUS-BOIS;8;1884.26;93110
