CROIX-PL;2;438.76;59170
CANÉJAN-SR;1;796;33610
ROMANS-SUR-ISERE-PL;2;1250;26100
PARIS-PL;143;26440.91;75016
SAINT-MALO-PL;9;1306.25;35400
SAUJON-PL;2;280;17600
SAINT-SAULVE-PL;2;325;59880
CAGNES-SUR-MER-EL;5;680;06800
ESCALQUENS-SR;1;180;31750
CLICHY-PL;6;150;92110
GOURDAN-POLIGNAN-PL;1;150;31210
BESANCON-SR;8;1236.1;25000
SAINT-JULIEN-EN-GENEVOIS-PL;4;450;74160
LES TOUCHES-SR;1;215;44390
LE HAVRE-PL;8;1747.8;76600
LE MANS-PL;12;2985.48;72100
MANTES-LA-JOLIE-CH;1;110;78200
TOURS-SR;9;1481.25;37100
AVIGNON-SR;11;1390;84000
SAINT-POL-SUR-MER-CH;1;150;59430
CAEN-CH;1;150;14000
GRENOBLE-EL;4;560;38000
BESANCON-CH;1;130;25000
NANCY-PL;10;2594.73;54000
MARSEILLE-PL;42;6192.459999999999;13013
AUTERIVE-PL;3;365;31190
GAP-EL;1;0;05000
THONON-LES-BAINS-EL;2;460;74200
PANTIN-PL;6;760;93500
LAVAL-PL;5;675;53000
LE PONTET-PL;3;1167.0900000000001;84130
CERGY-EL;4;826.25;95800
LA CHAPELLE-D'ARMENTIERES-PL;1;150;59930
STAFFELFELDEN-PL;2;300;68850
LOOS-PL;4;691.56;59120
CHALLANS-SR;7;1160;85300
VILLENEUVE-LE-ROI-CH;1;110;94290
BRIGNOLES-SR;5;625;83170
CREUTZWALD-SR;1;150;57150
ANGERS-EL;5;934.1;49100
DAMBACH-LA-VILLE-PL;2;461.25;67650
BAGNEUX-PL;3;0;92220
ROUSSON-SR;1;150;30340
MARIGNANE-PL;6;730;13700
GRENOBLE-PL;16;3360;38000
COLLEGIEN-PL;1;0;77090
ORRY-LA-VILLE-SR;1;32.5;60560
LAPALUD-PL;1;350;84840
VAUVERT-VT;1;0;30600
GANAC-SR;1;180;09000
BEZIERS-PL;13;1690;34500
CHARTRES-PL;6;750;28000
MONTPELLIER-SR;8;1891.65;34000
BELFORT-VT;2;1082.96;90000
VITRY-SUR-SEINE-SR;3;2324.7;94400
MARSEILLE-EL;26;3170;13001
LIMAY-CH;1;150;78520
RÉMELFING-PL;1;180;57200
TARBES-VT;4;2140.6499999999996;65000
BORDEAUX-SR;36;7321.1900000000005;33000
MONTPELLIER-PL;20;3383.83;34000
STRASBOURG-VT;8;4065.17;67000
HAGUENAU-PL;4;1176.25;67500
SAINT-PAUL-LES-DAX-PL;3;440;40990
ROHRWILLER-SR;1;150;67410
WIZERNES-PL;1;150;62570
BLOIS-EL;1;130;41000
VILLEURBANNE-VT;2;894.26;69100
CACHAN-PL;2;2156.25;94230
ROSNY-SOUS-BOIS-PL;2;260;93110
SAINT-CHAMOND-PL;4;580;42400
BRIGNAIS-VT;1;502.13;69530
BETTWILLER-PL;1;180;67320
PIERRES-SR;2;492.5;14410
ROCHEFORT-EL;2;300;17300
NANCY-SR;6;928.6;54000
BORDEAUX-PL;23;4212.16;33800
CAPDENAC-PL;1;150;46100
SAINT-MAUR-PL;1;150;36250
TALENCE-SR;3;180;33400
MULHOUSE-SR;6;870;68200
DOURDAN-SR;1;250;91410
BIOT-PL;3;1179.73;06410
BAGNOLET-VT;2;696.76;93170
BESANCON-PL;19;2786.25;25000
MANDELIEU-LA-NAPOULE-SR;2;150;06210
LES PENNES-MIRABEAU-SR;3;200;13170
GUYANCOURT-SR;1;180;78280
TOURS-PL;10;2451.25;37200
MONT-DE-MARSAN-SR;3;766.25;40000
MERIGNAC-SR;11;1853.28;33700
GAILLAC-PL;2;300;81600
SAINT-ETIENNE-EL;2;260;42100
MEYRARGUES-SR;1;150;13650
SAINT-JEAN-BREVELAY-SR;1;150;56660
CANNES-EL;4;290;06400
NIMES-SR;8;1296.25;30000
VILLEMOIRIEU-SR;1;800;38460
BALARUC-LES-BAINS-SR;2;410;34540
CLICHY-SOUS-BOIS-CH;1;130;93390
PAU-SR;11;1640;64000
SAINT-DENIS-VT;2;737.8299999999999;11310
NIORT-SR;12;2967.1400000000003;79000
PERPIGNAN-SR;8;840;66000
CUGNAUX-VT;3;1586.3899999999999;31270
VALENCE-SR;4;659.1;26000
NANTES-EL;10;2506.25;44300
ATHIS-MONS-EL;1;150;91200
PONT-SAINT-ESPRIT-PL;1;150;30130
IZON-PL;2;300;33450
AMIENS-PL;13;2482.5;80090
LOUVIERS-PL;1;150;27400
FLOIRAC-CH;1;180;33270
LOON-PLAGE-SR;1;130;59279
SAINT-ETIENNE-SR;9;1180;42100
CERONS-SR;3;555;33720
AIX-LES-BAINS-PL;8;4266.139999999999;73100
BAGNÈRES-DE-BIGORRE-VT;1;417.13;65200
NIORT-PL;9;865;79000
GRANDE-SYNTHE-SR;1;0;59760
DIVONNE-LES-BAINS-PL;11;2944.5;01220
BORDEAUX-VT;8;4482.58;33000
AULNAY-SOUS-BOIS-PL;2;280;93600
NORD-SR;1;726.25;59760
AMIENS-SR;11;1480;80080
LIMOGES-SR;6;726.25;87000
DANJOUTIN-EL;1;130;90400
BOURGOIN-JALLIEU-PL;4;610;38300
BRUMATH-PL;4;592.5;67170
PARIS-EL;80;15303.76;75012
AMNEVILLE-PL;2;300;57360
NEVERS-PL;3;480;58000
DINARD-PL;4;610;35800
PAU-PL;11;2226.25;64000
MANTES-LA-JOLIE-SR;6;1020;78200
LES HERBIERS-EL;1;150;85500
SAINT-CYR-SUR-MER-PL;2;350;83270
PESSAC-PL;4;630;33600
BOURG-EN-BRESSE-SR;3;260;01000
FLEURY-LES-AUBRAIS-VT;1;806.25;45400
SAINT-MARCEL-LÈS-VALENCE-VT;1;534.63;26320
AIX-EN-PROVENCE-PL;8;905;13540
JOUY-LE-MOUTIER-PL;2;260;95280
FIRMINY-SR;1;180;42700
CHAUME-ET-COURCHAMP-PL;1;130;21610
SAINT-CYPRIEN-SR;3;450;66750
LAILLE-PL;3;561.25;35890
QUIMPER-PL;10;1540;29000
CHARS-CH;1;180;95750
YUTZ-CH;2;300;57100
VITRY-SUR-ORNE-PL;1;150;57185
LYON-SR;11;1340;69009
PIERRE-BENITE-PL;2;300;69310
BUSSY-SAINT-GEORGES-PL;2;260;77600
TROYES-PL;8;965;10000
BOURGES-PL;10;2006.25;18000
NANTES-CH;4;645;44000
MIRAMAS-PL;3;430;13140
AIGUEBELLE-VT;1;524.63;73220
COLMAR-VT;5;2178;68000
LORMONT-SR;5;1501.25;33310
BOUZONVILLE-PL;1;150;57320
AGDE-PL;8;1240;34300
DIJON-SR;8;2020;21000
HABSHEIM-PL;2;150;68440
LA CHAPELLE-THOUARAULT-SR;1;130;35590
ROQUESERIERE-SR;1;150;31380
LA ROCHELLE-EL;6;1150;17000
LE TOUVET-SR;1;226.25;38660
FONTENAY-SOUS-BOIS-EL;1;299.1;94120
BAGNOLET-SR;2;260;93170
COMPIEGNE-PL;1;216.25;60200
CHEVREUSE-SR;2;768.96;78460
METZ-PL;14;2677.44;57070
SAINT-GERMAIN-EN-LAYE-PL;1;0;78100
PARIS-VT;38;8173.500000000001;75002
BOUCAU-CH;1;130;64340
MANTHELON-PL;1;130;27240
ANDERNOS-LES-BAINS-PL;4;1240;33510
ORVAL-VT;1;502.13;18200
ANGOULEME-PL;7;1160;16000
COUTHENANS-PL;1;150;70400
MAMERS-PL;2;356.25;72600
DENAIN-PL;1;130;59220
SAINT-LOUIS-PL;6;930;68300
PALAVAS-LES-FLOTS-PL;3;425;34250
CHALON-SUR-SAÔNE-SR;2;280;71100
MONTROUGE-CL;1;2256.25;92120
LA MONTAGNE-PL;1;150;44620
CONFLANS-SAINTE-HONORINE-EL;2;0;78700
SAINT-REMY-LES-CHEVREUSE-PL;1;0;78470
MAULE-EL;2;32.5;78580
LONGWY-SR;3;566.25;54400
SCHWEIGHOUSE-SUR-MODER-PL;1;816.97;67590
TARBES-SR;6;1506.24;65000
